,Nasdaq Composite,,,,
Date,Open,High,Low,Close,Volume
"04,30,1993",,691.21997,644.59003,661.41998,
"03,31,1993",,697.52002,668.54999,690.13,
"02,26,1993",,711.28998,647.69,670.77002,
"01,29,1993",,711.28998,670.40002,696.34003,
"12,31,1992",,676.95001,648.69,676.95001,
"11,30,1992",,652.77002,603.22998,652.72998,
"10,30,1992",,606.71002,551.64001,605.16998,
"09,30,1992",,594.27002,562.19,583.27002,
"08,31,1992",,583.90002,550.22998,563.12,
"07,31,1992",,581.10999,553.73999,580.83002,
"06,30,1992",,591.12,545.84998,563.59998,
"05,29,1992",,591.27002,571,585.31,
"04,30,1992",,603.70001,557.03003,578.67999,
"03,31,1992",,637.25,599.40997,603.77002,
"02,28,1992",,646.10999,616.83002,633.46997,
"01,31,1992",,633.08002,576.03998,620.21002,
"12,31,1991",,586.34998,518.53003,586.34003,
"11,29,1991",,558.28998,516.34003,523.90002,
"10,31,1991",,543.10999,513.08002,542.97998,
"09,30,1991",,529.28998,510.97,526.88,
"08,30,1991",,527.76001,487,525.67999,
"07,31,1991",,502.20999,471.17001,502.04001,
"06,28,1991",,508.07001,470.92001,475.92001,
"05,31,1991",,506.16,476.53,506.10999,
"04,30,1991",,512.75,479.07001,484.72,
