,Constellation Brands Incorporated,,,,,
Date,Open,High,Low,Close,Volume,SIP
"01,31,1997",3.55,3.78,3.44,3.52,23929600,0
"12,31,1996",3.34,3.56,3.19,3.56,15994400,0
"11,29,1996",2.91,3.44,2.81,3.38,32528800,0
"10,31,1996",2.63,2.91,2.53,2.81,25924000,0
"09,30,1996",2.84,2.97,1.97,2.59,66865600,0
"08,30,1996",3.25,3.56,2.86,2.88,25610400,0
"07,31,1996",3.78,3.84,3.19,3.28,12737600,0
"06,28,1996",3.78,4.03,3.75,3.75,16124000,0
"05,31,1996",3.84,3.94,3.41,3.78,47416800,0
"04,30,1996",4.84,4.88,3.38,3.8,46484800,0
"03,29,1996",4.84,4.94,4.47,4.84,16368800,0
"02,29,1996",4.66,4.88,4.28,4.75,20312800,0
"01,31,1996",4.06,4.75,3.94,4.66,25098400,0
"12,29,1995",4.19,4.19,3.72,4.08,33581600,0
"11,30,1995",5.98,6.28,3.84,4.19,120280800,0
"10,31,1995",6.03,6.22,5.63,6,13940000,0
"09,29,1995",5.94,6.63,5.84,6.08,14825600,0
"08,31,1995",5.5,6,5.31,5.91,16249600,0
"07,31,1995",5.53,5.88,5.06,5.47,16073600,0
"06,30,1995",5.44,5.69,5.22,5.59,15250400,0
"05,31,1995",5.38,5.56,4.97,5.41,16270400,0
"04,28,1995",5.16,5.59,5.03,5.38,15899200,0
"03,31,1995",4.63,5.5,4.19,5.25,29953600,0
"02,28,1995",4.59,4.84,4.31,4.63,24270400,0
"01,31,1995",4.75,5.06,4.5,4.56,16175200,0
"12,30,1994",4.19,4.81,4.16,4.75,20089600,0
"11,30,1994",4.03,4.25,4.03,4.16,28760800,0
"10,31,1994",4.13,4.28,4.03,4.11,10500000,0
"09,30,1994",3.81,4.28,3.72,4.19,16013600,0
"08,31,1994",3.19,3.84,3.19,3.81,20248000,0
"07,29,1994",3.13,3.34,3,3.2,11686400,0
"06,30,1994",2.81,3.25,2.78,3.13,19412000,0
"05,31,1994",3.09,3.13,2.53,2.88,13954400,0
"04,29,1994",3.38,3.69,3,3.09,14760000,0
"03,31,1994",3.34,3.81,3.25,3.44,20100800,0
"02,28,1994",3.63,3.63,3.28,3.44,9388800,0
"01,31,1994",3.88,3.88,3.34,3.63,23346400,0
"12,31,1993",3.22,4,3.19,3.94,32786400,0
"11,30,1993",2.91,3.22,2.69,3.19,30018400,0
"10,29,1993",2.84,3.13,2.78,2.91,20272000,0
"09,30,1993",2.78,2.89,2.63,2.84,15976800,0
"08,31,1993",2.72,2.97,2.72,2.78,15743200,0
"07,30,1993",2.31,2.88,2.25,2.73,37548800,0
"06,30,1993",2.25,2.44,2.19,2.31,7843200,0
"05,31,1993",2.23,2.44,2.19,2.31,12772800,0
"04,30,1993",2.03,2.25,1.69,2.23,6976000,0
"03,31,1993",2,2.09,1.88,2.03,13693600,0
"02,26,1993",2.13,2.34,1.88,2,5823200,0
"01,29,1993",2.13,2.34,2.06,2.22,10660800,0
"12,31,1992",1.88,2.13,1.78,2.13,7487200,0
"11,30,1992",1.78,1.97,1.69,1.97,11972800,0
"10,30,1992",1.53,1.78,1.34,1.78,10851200,0
"09,30,1992",1.64,1.72,1.5,1.53,11405600,0
"08,31,1992",1.75,1.88,1.63,1.69,4515200,0
"07,31,1992",1.81,1.84,1.67,1.81,8636787,0
"06,30,1992",1.9,2.04,1.71,1.83,12899978,0
"05,29,1992",1.9,2.13,1.85,1.94,9913180,0
"04,30,1992",1.69,1.95,1.59,1.9,4215579,0
"03,31,1992",1.65,1.74,1.53,1.69,6574778,0
"02,28,1992",1.67,1.78,1.63,1.65,8983182,0
"01,31,1992",1.32,1.7,1.31,1.67,1299581,0
"12,31,1991",1.4,1.42,1.26,1.32,364784,0
"11,29,1991",1.47,1.5,1.42,1.42,686385,0
"10,31,1991",1.43,1.5,1.35,1.48,1067383,0
"09,30,1991",1.4,1.42,1.33,1.42,143987,0
"08,30,1991",1.22,1.4,1.19,1.39,629981,0
"07,31,1991",1.24,1.38,1.22,1.24,966583,0
"06,28,1991",1.11,1.24,1.11,1.24,403184,0
"05,31,1991",1.14,1.17,1.04,1.11,595782,0
"04,30,1991",0.94,1.15,0.94,1.13,1191581,0
