,Northrop Grumman Corporation,,,,,
Date,Open,High,Low,Close,Volume,SIP
"01,30,1998",52.39,56.9,51.71,55.62,12747443,0
"12,31,1997",51.28,52.5,48.87,52.16,7165738,0
"11,28,1997",50.35,51.88,47.29,51.09,9322096,0
"10,31,1997",55,55.88,45.76,49.55,16195939,0
"09,30,1997",53.1,58,53.1,55.05,10811109,0
"08,29,1997",51.71,54.43,50.72,53.1,14480730,0
"07,31,1997",39.72,53.07,39.69,52.22,33552842,0
"06,30,1997",38.5,40.71,36.68,39.83,12761112,0
"05,30,1997",37.87,39.69,37.31,38.38,10050067,0
"04,30,1997",34.25,38.95,32.6,37.87,11122183,0
"03,31,1997",33,35.49,32.83,34.3,8456775,0
"02,28,1997",35.27,35.55,32.37,32.72,9496262,0
"01,31,1997",37.42,37.48,34.64,35.55,10681696,0
"12,31,1996",37.65,37.76,35.15,37.53,6709157,0
"11,29,1996",36.51,38.21,36.23,37.7,5690614,0
"10,31,1996",36.4,36.68,34.64,36.63,5899614,0
"09,30,1996",32.43,36.4,32.26,36.4,4710431,0
"08,30,1996",31.24,33.34,31.07,32.55,4284275,0
"07,31,1996",30.84,32.55,28.92,31.18,10340639,0
"06,28,1996",28.29,31.41,28.29,30.9,16336595,0
"05,31,1996",28.01,28.92,26.88,28.41,4559855,0
"04,30,1996",28.92,28.92,26.19,28.07,4728950,0
"03,29,1996",28.01,29.09,27.44,28.86,5029663,0
"02,29,1996",29.09,30.56,27.78,28.01,6288512,0
"01,31,1996",28.97,29.37,26.48,29.03,9700853,0
"12,29,1995",27.78,29.14,27.67,29.03,3005143,0
"11,30,1995",25.91,27.9,25.57,27.9,3613403,0
"10,31,1995",27.56,27.56,25.4,25.97,5202066,0
"09,29,1995",27.67,28.41,27.16,27.61,6397201,0
"08,31,1995",25.85,27.84,25.51,27.61,6736715,0
"07,31,1995",23.59,26.19,23.53,25.85,5295543,0
"06,30,1995",23.64,24.49,23.02,23.64,4892976,0
"05,31,1995",22.57,23.76,21.32,23.76,6299976,0
"04,28,1995",22.28,23.3,22.17,22.51,5114101,0
"03,31,1995",20.24,22.57,20.18,22.17,8029515,0
"02,28,1995",18.31,20.13,18.31,20.13,5293558,0
"01,31,1995",19.05,19.45,18.03,18.31,4895401,0
"12,30,1994",18.54,19.5,18.31,19.05,4267079,0
"11,30,1994",19.73,20.58,18.26,18.43,5194791,0
"10,31,1994",20.47,21.49,19.79,19.9,4422726,0
"09,30,1994",20.18,20.58,19.79,20.52,4037355,0
"08,31,1994",18.88,20.47,18.88,20.41,6274623,0
"07,29,1994",16.84,19.22,16.22,19.05,5369398,0
"06,30,1994",16.05,17.92,15.93,16.84,5364548,0
"05,31,1994",17.24,17.58,15.65,16.05,3573499,0
"04,29,1994",17.29,18.03,16.61,17.35,6844081,0
"03,31,1994",18.37,20.81,17.86,18.09,18737226,0
"02,28,1994",17.63,18.37,17.29,18.26,4023686,0
"01,31,1994",16.9,18.26,16.73,17.63,4497463,0
"12,31,1993",17.01,17.8,16.1,16.95,4386350,0
"11,30,1993",15.65,17.75,15.59,17.24,5571563,0
"10,29,1993",15.93,16.5,15.14,15.76,3974743,0
"09,30,1993",16.73,16.73,15.37,15.93,7235404,0
"08,31,1993",18.14,18.26,16.5,16.84,5203168,0
"07,30,1993",18.94,19.28,17.35,18.2,6618546,0
"06,30,1993",17.52,19.33,17.12,18.94,5365871,0
"05,31,1993",17.75,17.86,16.84,17.63,2242558,0
"04,30,1993",16.73,17.86,16.05,17.69,3326359,0
"03,31,1993",15.2,16.95,14.91,16.73,5810105,0
"02,26,1993",14.63,15.59,13.83,15.25,3774562,0
"01,29,1993",15.48,16.27,14.63,14.63,5074417,0
"12,31,1992",12.98,15.82,12.98,15.48,6362808,0
"11,30,1992",11.57,13.1,11.45,12.98,2807166,0
"10,30,1992",11.17,11.91,10.21,11.62,2345295,0
"09,30,1992",11.34,11.68,10.21,11.06,3553216,0
"08,31,1992",12.81,12.81,11.11,11.28,2641819,0
"07,31,1992",11.96,12.87,11.79,12.81,2701123,0
"06,30,1992",11.51,12.08,11.23,11.91,2836488,0
"05,29,1992",11.91,12.25,11,11.34,2020992,0
"04,30,1992",10.94,12.42,10.83,11.91,2582955,0
